fullName,rating,jersey,team,bDay,height,weight,salary,country
Tyson Chandler,73,19,Houston Rockets,10/02/1982,213,235,2564753,USA
Anthony Tolliver,72,0,Memphis Grizzlies,06/01/1985,203,240,2854556,USA
Courtney Lee,72,1,Dallas Mavericks,10/03/1985,196,200,12759670,USA
PJ Tucker,79,17,Houston Rockets,05/05/1985,196,225,8349039,USA
Chris Paul,85,3,Oklahoma City Thunder,05/06/1985,185,175,38506482,USA
Paul Millsap,82,4,Denver Nuggets,02/10/1985,201,250,30350000,USA
Jared Dudley,72,10,Los Angeles Lakers,07/10/1985,198,225,2564753,USA
Al Horford,85,42,Philadelphia 76ers,06/03/1986,206,246,28000000,Dominican Republic
George Hill,75,3,Milwaukee Bucks,05/04/1986,191,180,10133907,USA
Ian Mahinmi,73,28,Washington Wizards,11/05/1986,211,230,15450051,France
Goran Dragic,79,7,Miami Heat,05/06/1986,191,190,19217900,Slovenia
Garrett Temple,73,17,Brooklyn Nets,05/08/1986,196,195,4767000,USA
Aron Baynes,75,46,Phoenix Suns,12/09/1986,208,260,5453280,Australia
Joe Ingles,79,2,Utah Jazz,10/02/1987,201,209,11454546,Australia
Wilson Chandler,75,21,Brooklyn Nets,05/10/1987,203,225,2564753,USA
DJ Augustin,76,14,Orlando Magic,11/10/1987,180,180,7250000,USA
Mike Conley,87,10,Utah Jazz,10/11/1987,185,185,32511623,USA
Brook Lopez,79,11,Milwaukee Bucks,04/01/1988,213,265,12093024,USA
Robin Lopez,75,42,Milwaukee Bucks,04/01/1988,213,255,4767000,USA
Derrick Rose,80,25,Detroit Pistons,10/04/1988,188,190,7317074,USA
Ishmael Smith,73,14,Washington Wizards,07/05/1988,183,175,6000000,USA
Kevin Love,83,0,Cleveland Cavaliers,09/07/1988,203,260,28942830,USA
Danilo Gallinari,83,8,Oklahoma City Thunder,08/08/1988,208,225,22615559,Italy
Nemanja Bjelica,77,88,Sacramento Kings,05/09/1988,208,224,6825000,Serbia
Jeff Teague,78,0,Atlanta Hawks,06/10/1988,191,181,19000000,USA
Patrick Mills,75,8,San Antonio Spurs,08/11/1988,185,185,12678571,Australia
Patrick Beverley,79,21,Los Angeles Clippers,07/12/1988,185,180,12345680,USA
Russell Westbrook,90,0,Houston Rockets,11/12/1988,191,190,38506482,USA
Kent Bazemore,75,26,Sacramento Kings,07/01/1989,193,195,19269663,USA
Marcus Morris,78,0,Los Angeles Clippers,09/02/1989,203,235,15000000,USA
Markieff Morris,75,88,Los Angeles Lakers,09/02/1989,203,245,3709887,USA
Justin Holiday,72,8,Indiana Pacers,04/05/1989,198,180,4767000,USA
Ed Davis,77,17,Utah Jazz,06/05/1989,206,215,4767000,USA
DeMar DeRozan,87,10,San Antonio Spurs,08/07/1989,198,220,27739975,USA
Eric Bledsoe,85,6,Milwaukee Bucks,12/09/1989,185,195,15625000,USA
Dewayne Dedmon,76,0,Atlanta Hawks,08/12/1989,213,239,13333334,USA
James Ennis,73,0,Orlando Magic,07/01/1990,198,201,1882867,USA
Paul George,93,13,Los Angeles Clippers,05/02/1990,203,210,33005556,USA
Draymond Green,86,23,Golden State Warriors,03/04/1990,198,230,18539130,USA
Mason Plumlee,77,24,Denver Nuggets,03/05/1990,211,238,14041096,USA
Jae Crowder,76,99,Miami Heat,07/06/1990,198,235,7815533,USA
John Wall,86,2,Washington Wizards,09/06/1990,193,195,38199000,USA
Klay Thompson,89,11,Golden State Warriors,02/08/1990,198,205,32742000,USA
Kemba Walker,88,8,Boston Celtics,05/08/1990,183,172,32742000,USA
Matthew Dellavedova,73,18,Cleveland Cavaliers,09/08/1990,191,190,9607500,Australia
Jrue Holiday,86,11,New Orleans Pelicans,06/12/1990,191,180,26131111,USA
Mike Muscala,73,33,Oklahoma City Thunder,07/01/1991,208,230,2028594,USA
Brandon Knight,72,0,Detroit Pistons,12/02/1991,188,189,15643750,USA
Andre Roberson,76,21,Oklahoma City Thunder,12/04/1991,201,206,10740740,USA
Terrence Ross,79,8,Orlando Magic,02/05/1991,198,206,12500000,USA
Will Barton,78,5,Denver Nuggets,01/06/1991,196,175,12776786,USA
Joe Harris,78,12,Brooklyn Nets,09/06/1991,198,215,7666667,USA
Langston Galloway,72,9,Detroit Pistons,12/09/1991,185,202,7333333,USA
Michael Carter-Williams,72,7,Orlando Magic,10/10/1991,196,184,2028594,USA
Tony Snell,73,17,Detroit Pistons,11/10/1991,198,198,11392857,USA
Dion Waiters,76,11,Los Angeles Lakers,12/10/1991,191,210,12475385,USA
Khris Middleton,85,22,Milwaukee Bucks,08/12/1991,201,217,30603448,USA
Austin Rivers,76,25,Houston Rockets,08/01/1992,191,200,2174310,USA
Doug McDermott,74,20,Indiana Pacers,01/03/1992,201,218,7333333,USA
Daniel Theis,76,27,Boston Celtics,04/04/1992,203,215,5000000,Germany
Victor Oladipo,87,4,Indiana Pacers,05/04/1992,193,213,21000000,USA
Cody Zeller,77,40,Charlotte Hornets,10/05/1992,213,230,14471910,USA
Jonas Valanciunas,81,17,Memphis Grizzlies,05/06/1992,211,231,16000000,Lithuania
Tyler Johnson,74,0,Brooklyn Nets,05/07/1992,191,186,19428485,USA
Jordan Clarkson,78,8,Utah Jazz,06/07/1992,193,186,13437500,Philippines
Cristiano Felicio,72,6,Chicago Bulls,07/07/1992,208,270,8156500,Brazil
Malcolm Brogdon,83,7,Indiana Pacers,12/11/1992,196,223,20000000,USA
Davis Bertans,76,42,Washington Wizards,11/12/1992,208,211,7000000,Latvia
Larry Nance Jr,78,22,Cleveland Cavaliers,01/01/1993,201,227,12727273,USA
Otto Porter,80,22,Chicago Bulls,06/03/1993,203,198,27250576,USA
Frank Kaminsky,76,8,Phoenix Suns,04/04/1993,213,231,4767000,USA
Dorian Finney-Smith,73,10,Dallas Mavericks,05/04/1993,201,213,4000000,USA
Royce O'Neale,73,23,Utah Jazz,06/05/1993,193,226,1618520,USA
TJ Warren,80,1,Indiana Pacers,09/05/1993,203,220,11060000,USA
Pat Connaughton,74,24,Milwaukee Bucks,01/06/1993,196,215,1723050,USA
Malcolm Miller,69,13,Toronto Raptors,03/06/1993,201,205,1588231,USA
Spencer Dinwiddie,82,8,Brooklyn Nets,04/06/1993,196,205,10605600,USA
Shaquille Harrison,73,3,Chicago Bulls,10/06/1993,201,190,1620564,USA
Danuel House,73,4,Houston Rockets,06/07/1993,198,220,3540000,USA
Yogi Ferrell,74,3,Sacramento Kings,05/09/1993,183,178,3150000,USA
Andre Drummond,86,0,Cleveland Cavaliers,08/10/1993,208,270,27093018,USA
Chris Boucher,71,25,Toronto Raptors,01/11/1993,206,200,1588231,Canada
Ben McLemore,71,16,Houston Rockets,02/11/1993,191,189,2028594,USA
Anthony Davis,94,3,Los Angeles Lakers,03/11/1993,208,222,27093019,USA
Moe Harkless,74,0,New York Knicks,05/11/1993,201,208,11011234,USA
Pascal Siakam,87,43,Toronto Raptors,04/02/1994,206,227,2351838,Cameroon
Derrick White,78,4,San Antonio Spurs,07/02/1994,193,200,1948080,USA
Kenrich Williams,72,34,New Orleans Pelicans,12/02/1994,198,210,1416852,USA
